time(UTC),error,lowalarm,highalarm,"Input 1","-","-","-","-","Input 2","-","-","-","-","Input 3","-","-","-","-","Input 4","-","-","-","-","Input 5","-","-","-","-","Input 6","-","-","-","-","HVAC vent 1st floor (Degrees F)","HVAC vent 1st floor Ave (Degrees F)","HVAC vent 1st floor Min (Degrees F)","HVAC vent 1st floor Max (Degrees F)","-","1st floor office (Degrees F)","1st floor office Ave (Degrees F)","1st floor office Min (Degrees F)","1st floor office Max (Degrees F)","-","Output 01","Output 02"
"2015-08-01 02:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.52,74.29,74.64,73.85,,75.65,75.60,75.74,75.44,,0,0
"2015-08-01 02:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.91,74.78,75.13,74.43,,75.81,75.73,75.92,75.62,,0,0
"2015-08-01 02:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.19,75.11,75.32,74.89,,75.93,75.89,76.01,75.76,,0,0
"2015-08-01 03:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.46,75.33,75.54,75.12,,76.10,76.03,76.13,75.89,,0,0
"2015-08-01 03:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.47,75.49,75.64,75.30,,76.17,76.11,76.22,76.04,,0,0
"2015-08-01 03:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.61,75.57,75.75,75.41,,76.33,76.23,76.34,76.11,,0,0
"2015-08-01 03:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.85,75.68,75.85,75.51,,76.39,76.34,76.44,76.25,,0,0
"2015-08-01 04:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.80,75.77,75.93,75.61,,76.47,76.43,76.51,76.32,,0,0
"2015-08-01 04:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.82,75.82,75.98,75.70,,76.50,76.48,76.61,76.41,,0,0
"2015-08-01 04:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.90,75.85,76.00,75.73,,76.55,76.53,76.63,76.44,,0,0
"2015-08-01 04:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.98,75.91,76.12,75.76,,76.68,76.61,76.71,76.50,,0,0
"2015-08-01 05:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.07,75.96,76.14,75.78,,76.68,76.64,76.72,76.58,,0,0
"2015-08-01 05:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.05,76.03,76.17,75.87,,76.71,76.68,76.77,76.60,,0,0
"2015-08-01 05:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.10,76.08,76.22,75.90,,76.68,76.72,76.82,76.65,,0,0
"2015-08-01 05:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.14,76.11,76.28,75.98,,76.76,76.76,76.86,76.67,,0,0
"2015-08-01 06:00:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.21,76.17,76.36,76.00,,76.83,76.81,76.89,76.72,,0,0
"2015-08-01 06:15:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.28,76.21,76.36,76.04,,76.86,76.84,76.90,76.76,,0,0
"2015-08-01 06:30:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.21,76.24,76.41,76.10,,76.79,76.84,76.91,76.77,,0,0
"2015-08-01 06:45:00",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.15,76.21,76.38,76.09,,76.77,76.79,76.88,76.68,,0,0
